
====================================================================================================
短期队 (24 个)
====================================================================================================
策略                        币种       周期       总PnL      OOS   OOS胜率    翻倍率          d2d          maxDD    笔数
atr_breakout              BTC      1d      +45.7R     +3.6R     33%   100%        31~87      9.1~23.4%    88
bollinger_deviation       ETH      12h     +45.6R    +17.2R     71%   100%      145~419     13.1~31.2%   441
bollinger_deviation       LINK     12h     +45.6R    +17.6R     64%   100%      123~399     14.7~37.0%   416
aroon_fast                DOT      1d      +45.6R     +6.5R     61%   100%      118~239      9.6~23.0%   252
fvg                       LINK     1d      +45.5R     +0.0R     45%    92%        11~52     13.8~34.3%    53
atr_breakout_2yi          BTC      1d      +45.3R     +4.8R     33%   100%        30~84      7.9~23.3%    86
vwap                      DOT      8h      +45.3R    +10.1R     30%   100%      187~641     15.2~36.1%   648
bollinger_deviation       ADA      1d      +45.3R    +24.1R     65%   100%       72~222     11.8~31.1%   227
williams_fast             SOL      12h     +45.1R     +6.7R     52%   100%       36~163     13.3~28.9%   164
kama                      TRX      8h      +44.5R     +2.5R     23%   100%     403~1156     14.3~33.1%  1165
cci_long                  BNB      12h     +44.1R     +3.4R     67%   100%       74~154      8.7~20.1%   161
volume_surge              BTC      12h     +44.0R     +0.4R     35%   100%       55~124     10.2~25.7%   127
connors_rsi               SOL      1d      +43.8R     +2.0R     50%   100%       76~156     10.5~26.7%   159
tvi                       XRP      1d      +43.2R    +11.8R     31%    63%       67~604     26.7~58.1%   647
rvi                       SOL      12h     +43.1R     +4.5R     49%   100%      111~654     20.9~47.4%   655
ma_rsi                    LINK     12h     +43.1R     +6.5R     52%   100%       42~141     15.0~35.2%   141
ulcer_index               BTC      1d      +43.0R     +8.7R     56%   100%        37~78      6.6~16.6%    79
hma                       TRX      12h     +42.9R     +7.9R     38%   100%     347~1107     15.1~39.5%  1130
ema_cross_fast            TRX      8h      +42.7R     +9.1R     31%   100%      296~976     14.8~32.8%   984
connors_rsi               ETH      1d      +42.7R     +7.9R     61%   100%       83~220     10.7~27.2%   226
pv_divergence             SOL      12h     +42.6R     +0.3R     59%   100%      112~367     13.8~37.6%   373
klinger                   BNB      8h      +42.5R     +1.2R     36%   100%     617~2176     19.2~40.0%  2179
aroon                     ADA      1d      +42.3R    +23.3R     54%   100%       60~257     15.2~40.1%   258
chandelier                TRX      12h     +42.2R    +14.3R     40%   100%      147~486     14.3~36.7%   486
kama                      ETH      1d      +42.1R     +5.0R     29%   100%       87~383     16.8~42.7%   383
obv_slope                 ADA      1d      +42.1R     +6.7R     35%    71%       78~601     24.8~53.0%   616
advanced_kline_echo       TRX      12h     +42.0R     +5.9R     34%   100%       46~142     12.0~31.3%   142
rsi_reversal              ADA      1d      +41.9R    +19.3R     57%   100%       81~197     13.0~27.9%   200
adaptive                  TRX      1d      +41.9R     +7.9R     36%   100%       39~109      9.9~27.3%   110
hma                       XRP      1d      +41.7R     +5.0R     37%    72%      115~565     22.4~46.1%   577
cci_long                  TRX      8h      +41.5R     +7.0R     74%   100%      106~197      7.4~17.2%   208
matriple                  TRX      12h     +41.5R     +6.6R     42%   100%       54~117     10.9~25.2%   117
ma                        TRX      1d      +41.5R     +6.4R     41%   100%       60~143     11.4~27.8%   143
ema_cross_fast            DOT      8h      +41.4R     +2.0R     31%   100%      245~719     15.1~40.2%   722
cci_long                  LINK     1d      +41.3R     +3.4R     47%   100%        43~89      7.4~17.4%    91
order_block               BNB      1d      +41.3R     +5.1R     58%   100%      294~753     13.0~30.4%   760
macd_fast                 BTC      1d      +41.3R     +1.4R     42%   100%      150~454     12.2~33.9%   458
ichimoku                  TRX      1d      +40.9R     +9.4R     40%   100%       83~171     10.6~25.0%   171
zscore                    LINK     8h      +40.9R     +3.8R     42%   100%       49~128     13.0~30.4%   128
order_block               SOL      12h     +40.7R     +8.8R     62%   100%      316~985     15.8~39.9%   990
candlestick               SOL      1d      +40.6R     +2.7R     42%    93%      163~362     18.1~39.8%   364
smc_real                  LINK     12h     +40.6R     +1.5R     33%    60%       35~112     18.2~42.5%   117
atr                       TRX      1d      +40.5R     +2.9R     32%    85%       32~105     12.6~28.9%   106
break_of_structure        BTC      12h     +40.4R     +3.4R     38%    80%        21~60      9.4~26.1%    61
elder_ray                 BTC      12h     +40.4R     +4.3R     36%   100%      411~922     13.2~31.6%   926
pv_divergence             LINK     1d      +40.0R    +10.0R     51%   100%       96~223     12.2~28.6%   225
pv_divergence             XRP      1d      +39.7R    +22.5R     56%   100%      107~246     11.1~28.4%   246
fisher_transform          DOT      12h     +39.6R     +1.6R     38%   100%      144~581     15.5~34.5%   581
dema_tema                 ETH      12h     +38.8R    +13.4R     52%   100%      292~768     14.3~35.7%   768
macross_slow              TRX      12h     +38.8R     +2.5R     30%    78%       50~134     11.8~25.9%   135
vol_reversion             LINK     1d      +38.6R     +8.7R     33%    57%        17~98     14.5~37.8%   101
connors_rsi               TRX      1d      +38.6R     +2.1R     56%   100%       72~194     11.0~27.8%   194
ad                        DOT      8h      +38.4R     +4.7R     44%    54%      130~590     17.3~40.1%   649
heikin_ashi               LINK     12h     +38.1R     +3.1R     36%    51%      199~759     20.6~53.8%   793
order_block               ETH      1d      +38.1R    +10.4R     63%    90%      389~759     13.0~31.6%   764
aroon                     TRX      12h     +37.9R     +1.0R     60%    78%      165~379     14.6~38.4%   382
aroon                     LINK     12h     +37.6R    +14.6R     56%    72%      120~394     16.9~36.7%   401
aroon                     BNB      1d      +37.6R    +12.8R     59%    69%       84~240     14.4~32.9%   244
candlestick               ETH      12h     +37.5R    +10.9R     51%    68%      321~967     18.3~40.4%   977
dema_tema                 ADA      8h      +37.3R     +8.7R     50%    68%     291~1083     19.1~46.0%  1119
rsi_reversal              DOT      12h     +37.3R     +1.5R     58%    81%      145~292     11.8~29.1%   293
proc                      TRX      1d      +37.3R     +6.1R     41%    57%       45~130     13.1~31.9%   133
aroon                     DOT      8h      +37.3R     +8.5R     58%    73%      146~387     15.2~37.2%   391
vroc                      TRX      8h      +37.3R     +3.6R     42%    79%      308~881     16.0~34.3%   890
ema_cross_fast            BTC      8h      +37.1R     +2.0R     30%    76%     334~1061     13.4~31.8%  1066
chandelier                XRP      8h      +36.7R    +24.0R     46%    57%      167~654     23.0~48.7%   699
pivot_points              ETH      12h     +36.6R     +8.2R     37%    57%       85~403     19.1~40.2%   416
dip_buy                   DOT      8h      +36.5R     +0.7R     68%    78%      328~598     10.7~24.8%   600
bb_squeeze                BNB      12h     +36.4R     +7.1R     62%    54%      117~227     13.8~31.8%   232
rvi                       LINK     1d      +36.4R     +0.4R     38%    66%      115~421     22.2~42.5%   435
vroc                      BTC      12h     +36.4R     +6.8R     52%    55%      388~711     12.9~30.2%   723
order_block               AVAX     12h     +35.9R     +8.1R     62%    57%      334~926     17.1~37.7%   933
linreg_slope              BTC      8h      +35.9R     +4.8R     33%    63%      326~913     13.8~33.3%   927
demandindex_long          BTC      1d      +35.8R     +2.1R     26%    51%       71~131      6.7~22.2%   135
connors_rsi               AVAX     12h     +35.8R     +3.6R     57%    57%      114~322     14.1~32.9%   325
fisher_transform          BTC      12h     +35.2R     +1.0R     32%    51%      339~863     13.3~31.8%   884
klinger                   TRX      8h      +34.7R     +7.6R     36%    53%     820~2115     15.7~35.2%  2187
